month,window,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,r2,nobs,fitted_oos,residual_oos,excess_ret,annualized_alpha
2022-11-01,24,0.00017194337154341488,1.2386406120127254,1.0154115486533901,-0.6088567172623959,-0.2089412931638841,0.007089053950000592,0.15619825648880448,0.5188092445555977,0.2060596482104278,0.3471459887878756,0.8781361875066213,24.0,0.147691642963453,-0.040191642963453,0.1075,0.0020652728358268035
2022-12-01,24,-0.0009627052973968271,1.199828812389815,0.7933764622013566,-0.6681524986074885,-0.2834248707951392,0.007237455916443124,0.16516219795571774,0.531390339170117,0.20285285832076322,0.34936242363319925,0.8673691927851866,24.0,-0.0210222863856275,-0.0273777136143725,-0.0484,-0.011491490537989368
2023-01-01,24,-0.0045349334922634935,1.193220894954491,0.3730545459462566,-0.7120020702641423,-0.36852001523396094,0.005651074633748652,0.12942225209019131,0.42758372294042823,0.15616860672049027,0.25610589515662435,0.924144023823708,24.0,0.09154541400458616,0.026254585995413943,0.1178000000000001,-0.05308218104306617
2023-02-01,24,-0.006235313735830084,1.176258062794524,0.007450021335700385,-0.7689291578675236,-0.15940438166728388,0.005766586003371641,0.12771042588906953,0.47043241041224015,0.1605092229798771,0.27225720585859814,0.9253764615455815,24.0,-0.07029999444835901,0.035299994448359004,-0.035,-0.0723103341338992
2023-03-01,24,-0.006491183290868407,1.2018923688950094,0.35803043309396987,-0.6361903540958715,-0.257393155146316,0.006324795096878882,0.13713275119105625,0.4757602945650198,0.16274667137444931,0.30270046934607053,0.9133749163804756,24.0,0.0522533771930215,-0.0530533771930215,-0.0007999999999999999,-0.07517256131285999
2023-04-01,24,-0.008013132004912096,1.1471649071121903,0.32812764861930854,-0.6386015271532458,-0.3832348881823022,0.006204841144459712,0.13748146686416438,0.45521855588503174,0.15730073270554984,0.3031153472630914,0.9141685739098621,24.0,0.0025919370559048995,-0.0144919370559048,-0.0118999999999999,-0.09203088594450481
2023-05-01,24,-0.007831665562190074,1.1436177124393363,0.33114536268883876,-0.6420741308797122,-0.38678346876763303,0.006036158878390822,0.13626942176957751,0.45819056350992443,0.15553859410799364,0.3035867346855715,0.9139966762268305,24.0,-0.05475918697327746,0.00315918697327746,-0.0516,-0.09003571676756628
2023-06-01,24,-0.009207194714921318,1.1590848614273033,0.28511744661824445,-0.6163651657602824,-0.34271866468693046,0.006282282524178798,0.1316756032542186,0.4459586433999789,0.15672813855132786,0.29264784277311695,0.9160901201552515,24.0,0.014173600168089787,0.001526399831910212,0.0157,-0.1050595640834674
2023-07-01,24,-0.00587646596397863,1.1976990457272283,0.5438486834761517,-0.5483077288763603,-0.4343252796768007,0.006908832966102596,0.1460778562082725,0.4814033665359724,0.17332398015142467,0.32405804894555973,0.8997839472108671,24.0,0.006837592825677215,0.05906240717432278,0.0659,-0.06828248338556231
2023-08-01,24,-0.006970508321320935,1.1856082464611999,0.4808254845577361,-0.534043595848722,-0.4341013471476667,0.007028856439999317,0.14400684190188306,0.48723654319097176,0.1729882303374112,0.3204848284367128,0.8998098492483839,24.0,-0.06957407948004495,0.007374079480045051,-0.062199999999999894,-0.08051264735009589
2023-09-01,24,-0.007775773327547799,1.199006354610778,0.4719614304695573,-0.5517221218552721,-0.41323338083408023,0.0072718822634909855,0.14581664049198764,0.5130427204035596,0.1773323698066481,0.3252810010018671,0.9001608736041601,24.0,-0.08522965364030159,-0.023270346359698407,-0.1085,-0.08942038934915186
2023-10-01,24,-0.007972949564975459,1.2246078055950558,0.4423039133789637,-0.5476162375597087,-0.3540393272815612,0.00719710333041164,0.14586605439650877,0.5180868854924952,0.17583562487467072,0.3424990397929677,0.902833888832174,24.0,-0.07810058048773626,-0.010899419512263642,-0.0889999999999999,-0.09158943803854824
2023-11-01,24,-0.006579049240086787,1.426037426876039,0.39235918249529966,-0.5193352569636178,-0.0020083300175768315,0.00878885815113131,0.17216945029047073,0.6273483150235947,0.22275793726249526,0.39920451357876113,0.8935585879467381,24.0,0.09832080762476157,0.09657919237523845,0.19490000000000002,-0.07615358522491289
2023-12-01,24,-0.007632666851083688,1.4593950149810442,0.26559325779901766,-0.47308638752928756,0.10297954579024848,0.007789758872706962,0.1741627261898707,0.5425819380720842,0.22459519034812678,0.3771633662227662,0.9004029213418481,24.0,0.07955757422754885,-0.01585757422754884,0.0637,-0.08784316612158605
2024-01-01,24,-0.00786154927248416,1.430241804430388,0.33312281350415196,-0.45615157912561666,-0.05497741462327621,0.0079505190941561,0.18064754545053088,0.5691692386609156,0.28008411693717405,0.4040639878333245,0.8874451154872643,24.0,-0.025136879468132946,-0.033263120531866947,-0.058399999999999896,-0.09036455537823118
2024-02-01,24,-0.005828325153628567,1.4664435247818823,0.40433798769865126,-0.4640989532974015,0.07771017458170215,0.00847988754903256,0.17841010616582856,0.6021665038240698,0.28298709378891057,0.37732937931494454,0.8849827437437426,24.0,0.005206352357958022,0.036793647642041974,0.041999999999999996,-0.06774091385671943
