Trade_Date,Clean_Name,Ticker,Action,Qty,Price,Currency,FX_Rate_to_USD,Price_USD,Transaction_Value_USD
2018-04-05,Asos Plc,ASC.L,1,20.0,69.76,GBP,1.408808,98.2784,1965.57
2018-04-05,Nordic Semiconductor Asa,NOD.OL,1,400.0,46.1,NOK,0.127922,5.8972,2358.88
2018-04-05,Fagerhult Ab,FAG.ST,1,200.0,100.6,SEK,0.119188,11.9903,2398.06
2018-04-05,Boozt Ab,BOOZT.ST,1,300.0,72.5,SEK,0.119188,8.6411,2592.33
2018-04-05,Intrum Justitia Ab,INTRUM.ST,1,100.0,228.9,SEK,0.119188,27.2821,2728.21
2018-04-05,G5 Entertainment Ab,G5EN.ST,1,50.0,327.0,SEK,0.119188,38.9744,1948.72
2018-04-05,Materialise Nv A D R,MTLS,1,150.0,11.76,USD,1.0,11.76,1764.0
2018-04-05,Gw Pharmaceuticals A D R,GWPH,1,20.0,114.0908,USD,1.0,114.0908,2281.82
2018-04-06,Sodastream International Ltd,SODA,1,200.0,94.5498,USD,1.0,94.5498,18909.96
2018-04-06,Groupe Fnac Sa,FNAC.PA,1,15.0,87.49998882,EUR,1.22516,107.2015,1608.02
2018-04-06,Zalando SE,ZAL.DE,1,40.0,44.5089457,EUR,1.22516,54.5306,2181.22
2018-04-06,Dustin Group Ab,DUST.ST,1,150.0,72.17382975,SEK,0.118738,8.5698,1285.47
2018-04-06,Solaredge Technologies Inc,SEDG,1,20.0,54.7,USD,1.0,54.7,1094.0
2018-04-09,Zalando SE,ZAL.DE,1,40.0,44.51,EUR,1.227144,54.6202,2184.81
2018-04-09,B H P Billiton Limited A D R,BHP,1,40.0,43.65,USD,1.0,43.65,1746.0
2018-04-10,Disco Corporation,6146.T,1,10.0,22390.73424,JPY,0.009368,209.7512,2097.51
2018-04-10,Sodastream International Ltd,SODA,1,170.0,95.0,USD,1.0,95.0,16150.0
2018-04-11,Sodastream International Ltd,SODA,-1 ,340.0,94.42,USD,1.0,94.42,32102.8
2018-04-19,Shopify Inc A,SHOP,1,20.0,126.85,USD,1.0,126.85,2537.0
2018-04-19,Nintendo Co Ltd Unspons A D R,NTDOY,1,30.0,51.18,USD,1.0,51.18,1535.4
2018-04-19,Ferrari Nv,RACE,1,10.0,123.85,USD,1.0,123.85,1238.5
2018-04-19,Cyberagent Inc Npv,4751.T,1,40.0,5520.00000029,JPY,0.009316,51.4225,2056.9
2018-04-19,Disco Corporation,6146.T,1,10.0,23210.0,JPY,0.009316,216.2167,2162.17
2018-04-19,Nokia Corp Spon A D R,NOK,1,400.0,5.8263,USD,1.0,5.8263,2330.52
2018-04-19,Asml Holding Nv Ny Reg Shs,ASML,1,10.0,199.04,USD,1.0,199.04,1990.4
2018-04-19,Ucb Sa,UCB.BR,1,20.0,66.98,EUR,1.237915,82.9155,1658.31
2018-04-19,Accesso Technology Group Plc,ACSO.L,1,100.0,21.25,GBP,1.420434,30.1842,3018.42
2018-04-19,Umicore,UMI.BR,1,30.0,43.0,EUR,1.237915,53.2303,1596.91
2018-04-19,Raysearch Laboratories Ab,RAY.ST,1,100.0,126.9,SEK,0.119068,15.1097,1510.97
2018-04-19,Dustin Group Ab,DUST.ST,1,150.0,77.0,SEK,0.119068,9.1682,1375.23
2018-04-19,Stroeer SE and Co Kgaa,SAX.DE,1,20.0,60.6,EUR,1.237915,75.0176,1500.35
2018-04-19,Ocado Group Plc,OCDO.L,1,300.0,5.336,GBP,1.420434,7.5794,2273.82
2018-04-20,Groupe Fnac Sa,FNAC.PA,1,15.0,93.85,EUR,1.234553,115.8628,1737.94
2018-04-20,Ams Ag,AMS.SW,1,20.0,96.98,CHF,1.029325,99.824,1996.48
2018-04-20,Ovs Spa,OVS.MI,1,300.0,3.5640156,EUR,1.234553,4.4,1320.0
2018-04-20,Solaredge Technologies Inc,SEDG,-1 ,20.0,55.1,USD,1.0,55.1,1102.0
2018-04-23,Elbit Systems Ltd,ESLT,1,20.0,124.79,USD,1.0,124.79,2495.8
2018-04-24,Blackberry Ltd,BB,1,200.0,10.54,USD,1.0,10.54,2108.0
2018-04-24,Askul Corp Npv,2678.T,1,100.0,3430.0,JPY,0.009194,31.537,3153.7
2018-04-24,Cyberagent Inc Npv,4751.T,1,50.0,5420.0,JPY,0.009194,49.834,2491.7
2018-04-25,Stroeer SE and Co Kgaa,SAX.DE,1,20.0,59.8,EUR,1.22414,73.2036,1464.07
2018-04-25,Asos Plc,ASC.L,1,20.0,60.32,GBP,1.399384,84.4109,1688.22
2018-04-25,B H P Billiton Limited A D R,BHP,1,40.0,46.9,USD,1.0,46.9,1876.0
2018-04-26,Materialise Nv A D R,MTLS,1,100.0,12.15,USD,1.0,12.15,1215.0
2018-04-26,Shopify Inc A,SHOP,1,20.0,124.59,USD,1.0,124.59,2491.8
2018-04-26,Blackberry Ltd,BB,1,200.0,10.495,USD,1.0,10.495,2099.0
2018-04-27,Biocartis Nv,BCART.BR,1,150.0,0.83821181,EUR,1.210962,1.015,152.25
2018-04-27,Boozt Ab,BOOZT.ST,1,300.0,80.038,SEK,0.115549,9.2483,2774.49
2018-04-27,Nordic Semiconductor Asa,NOD.OL,1,300.0,49.5,NOK,0.125222,6.1985,1859.55
2018-04-27,Ocado Group Plc,OCDO.L,1,300.0,0.83539823,EUR,1.210962,1.0116,303.48
2018-04-30,Air France Klm,AF.PA,1,300.0,8.216,EUR,1.212283,9.9601,2988.03
2018-05-03,B H P Billiton Limited A D R,BHP,1,80.0,46.95,USD,1.0,46.95,3756.0
2018-05-03,Ferrari Nv,RACE,1,20.0,126.57,USD,1.0,126.57,2531.4
2018-05-03,Gw Pharmaceuticals A D R,GWPH,1,20.0,136.022,USD,1.0,136.022,2720.44
2018-05-03,Asml Holding Nv Ny Reg Shs,ASML,1,30.0,191.21,USD,1.0,191.21,5736.3
2018-05-03,Sodastream International Ltd,SODA,1,30.0,86.62,USD,1.0,86.62,2598.6
2018-05-03,Nintendo Co Ltd Unspons A D R,NTDOY,1,60.0,52.04,USD,1.0,52.04,3122.4
2018-05-03,Shopify Inc A,SHOP,1,60.0,126.95,USD,1.0,126.95,7617.0
2018-05-03,Fanuc Corporation A D R,FANUY,1,100.0,21.41,USD,1.0,21.41,2141.0
2018-05-03,Elbit Systems Ltd,ESLT,1,20.0,113.74,USD,1.0,113.74,2274.8
2018-05-03,Materialise Nv A D R,MTLS,1,250.0,11.959,USD,1.0,11.959,2989.75
2018-05-03,Blackberry Ltd,BB,1,700.0,10.7986,USD,1.0,10.7986,7559.02
2018-05-03,Nokia Corp Spon A D R,NOK,1,800.0,5.815,USD,1.0,5.815,4652.0
2018-05-03,Accesso Technology Group Plc,ACSO.L,1,100.0,22.15,GBP,1.357386,30.0661,3006.61
2018-05-03,Ocado Group Plc,OCDO.L,1,600.0,5.74,GBP,1.357386,7.7914,4674.84
2018-05-03,Asos Plc,ASC.L,1,40.0,60.6,GBP,1.357386,82.2576,3290.3
2018-05-03,Entertainment One Ltd,ETO.L,1,2000.0,2.83,GBP,1.357386,3.8414,7682.8
2018-05-03,Keyence Corp,6861.T,1,5.0,68960.595,JPY,0.009105,627.902,3139.51
2018-05-03,Pandora A S Sponsored A D R,PNDORA.CO,1,100.0,27.59,USD,1.0,27.59,2759.0
2018-05-03,Nordic Semiconductor Asa,NOD.OL,1,700.0,52.7,NOK,0.123145,6.4897,4542.79
2018-05-03,Zalando SE,ZAL.DE,1,80.0,43.07,EUR,1.1951,51.473,4117.84
2018-05-03,Schibsted Asa A-Shares,SCHA.OL,1,100.0,232.4,NOK,0.123145,28.6188,2861.88
2018-05-03,Norwegian Air Shut,NAS.OL,1,100.0,302.2,NOK,0.123145,37.2143,3721.43
2018-05-03,Stroeer SE and Co Kgaa,SAX.DE,1,40.0,63.3,EUR,1.1951,75.6498,3025.99
2018-05-03,Slm Solutions Group Ag,AM3D.DE,1,100.0,31.6,EUR,1.1951,37.7652,3776.52
2018-05-03,Ucb Sa,UCB.BR,1,40.0,62.4,EUR,1.1951,74.5743,2982.97
2018-05-03,Umicore,UMI.BR,1,60.0,47.0,EUR,1.1951,56.1697,3370.18
2018-05-03,Biocartis Nv,BCART.BR,1,300.0,12.72,EUR,1.1951,15.2017,4560.51
2018-05-03,Groupe Fnac Sa,FNAC.PA,1,30.0,91.6,EUR,1.1951,109.4712,3284.14
2018-05-03,Air France Klm,AF.PA,1,300.0,8.318,EUR,1.1951,9.9408,2982.24
2018-05-03,Raysearch Laboratories Ab,RAY.ST,1,200.0,134.6,SEK,0.112181,15.0995,3019.9
2018-05-03,Brunello Cucinelli Spa,BC.MI,1,100.0,27.8,EUR,1.1951,33.2238,3322.38
2018-05-03,Intrum Justitia Ab,INTRUM.ST,1,100.0,224.59999996,SEK,0.112181,25.1958,2519.58
2018-05-03,Ams Ag,AMS.SW,1,40.0,88.26,CHF,1.0007,88.3218,3532.87
2018-05-03,G5 Entertainment Ab,G5EN.ST,1,50.0,374.2,SEK,0.112181,41.978,2098.9
2018-05-03,Dustin Group Ab,DUST.ST,1,300.0,73.89994453,SEK,0.112181,8.2901,2487.03
