Date Posted,Activity,Description,Principal Cash
03/13/19,Purchase,"Purchased 4,600 Shares Of -17,576.06 17,576.06 Norwegian Air Shut Net Cost 151,800.00 NOK Trade Date 3/13/19 Purchased Through Global Corporate Actions Book Value 151,800.00 NOK Valued At 8.63675 NOK For 17,576.06 USD Fed Tax Cost Reduction 17,576.06- USD 4,600 Shares At 33 NOK Ca Rights Exercise Bjp0wq3 16664 00- -A -UC-UZ -001-04","-17,576.06"
03/13/19,Purchase,"Purchased 151,800.00 Units Of -17,525.00 17,576.06 Norwegian Krone Trade Date 3/13/19 Value Date 3/13/19 Purchased Through Bny-Mellon Foreign Exchange Book Value 151,800.00 NOK Traded At 8.66191155 NOK To 1 USD Valued At 8.66191155 NOK For 17,525.00 USD Net Cost 17,525.00 USD Repayment Of Currency Overdraft Resulted In Fed ST Currency Gain On NOK Of 51.06 USD 151,800 Units At 1 NOK Ca Rights Exercise Bjp0wq3 Nas Pass Through T Subs Rt 3/08/19 Pay From Acct On Corp Action Valued At 1.00 NOK For 0.00 USD Market Value Of 140,300.00 USD Ca Rights Exercise Bjp0wq3","-35,101.06"
03/13/19,Sale,"Sold 22,511.63 Units Of 22,511.63 -22,511.63 First Am Govt Ob Fd Cl X Trade Date 3/13/19 -151,800.00 Norwegian Krone 99999NOK5","-17,576.06"
03/14/19,Sale,"Sold 11,131.47 Units Of 11,131.47 -11,131.47 First Am Govt Ob Fd Cl X Trade Date 3/14/19 16664 00- -A -UC-UZ -001-04",0.00
03/14/19,Sale,"Sold 59,283.82 Units Of 59,283.82 -59,283.82 First Am Govt Ob Fd Cl X Trade Date 3/14/19","59,283.82"
03/14/19,Purchase,"Purchased 2,500 Shares Of -59,283.82 59,330.47 Monotaro Co Ltd First Section Net Cost 59,283.82 USD Trade Date 3/5/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 29.62 USD Brokerage Book Value 6,635,816 JPY Traded At 111.93300296 JPY To 1 USD Valued At 111.845 JPY For 59,330.47 USD 2,500 Shares At 2,653 JPY",0.00
03/15/19,Purchase,"Purchased 50,203.39 Units Of -50,203.39 50,203.39 First Am Govt Ob Fd Cl X Trade Date 3/15/19","-50,601.73"
03/15/19,Sale,"Sold 5,428 Shares Of 50,601.73 -49,156.65 Dustin Group Ab Net Proceeds 50,601.73 USD Trade Date 3/13/19 Sold Through Jpmsgb2l Jp Morgan Sec London Paid 25.31 USD Brokerage Book Value 425,148.42 SEK Local Proceeds 472,863.04 SEK Traded At 9.34479987 SEK To 1 USD Valued At 9.3665 SEK For 50,484.50 USD 5,428 Shares At 87.1591 SEK Rakuten Inc A D R 0.040438 USD/Share On 10,000 Shares Due 3/18/19 10.0000000% Foreign Taxes Withheld Non-USD Taxes Rakuten Inc A D R 16664 00- -A -UC-UZ -001-04",0.00
03/18/19,Sale,"Sold 48,270.00 Units Of 432.72 -432.72 Yen Trade Date 3/18/19 Value Date 3/18/19 Book Value 48,270 JPY Traded At 111.55 JPY To 1 USD Valued At 111.55 JPY For 432.72 USD Net Proceeds 432.72 USD Repatriating Thk Co Ltd Transfer To Income Thk Co Ltd Repatriating Thk Co Ltd Transfer From Principal Thk Co Ltd Repatriating Thk Co Ltd 48,270 Yen 99999JPY3","1,212.53"
03/19/19,Purchase,Purchased 779.81 Units Of -779.81 779.81 First Am Govt Ob Fd Cl X Trade Date 3/19/19 16664 00- -A -UC-UZ -001-04,0.00
03/20/19,Purchase,"Purchased 67,752.05 Units Of -67,752.05 67,752.05 First Am Govt Ob Fd Cl X Trade Date 3/20/19 Transfer From Another Account",0.00
03/21/19,Purchase,"Purchased 2,519.58 Units Of -2,519.58 2,519.58 First Am Govt Ob Fd Cl X Trade Date 3/21/19",0.00
03/22/19,Sale,Sold 701.84 Units Of 701.84 -701.84 First Am Govt Ob Fd Cl X Trade Date 3/22/19,0.00
03/22/19,Sale,"Sold 50,060.34 Units Of 50,060.34 -50,060.34 First Am Govt Ob Fd Cl X Trade Date 3/22/19","50,060.34"
03/22/19,Purchase,"Purchased 50,000 Shares Of -50,060.34 50,306.52 Learning Technologies Group Net Cost 50,060.34 USD Trade Date 3/20/19 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 25.02 USD Brokerage Paid 1.33 USD Misc Fee1 Purchased On The London Stock Exchange Book Value 37,929.96 GBP Traded At 0.75768483 GBP To 1 USD Valued At 0.753977 GBP For 50,306.52 USD 50,000 Shares At 0.7582 GBP Transfer From Another Account 16664 00- -A -UC-UZ -001-04",0.00
03/25/19,Purchase,"Purchased 9,265 Units Of -9,265.00 9,265.00 First Am Govt Ob Fd Cl X Trade Date 3/25/19 Stmicroelectronics N V 0.06 USD/Share On 3,500 Shares Due 3/26/19 15.0000000% Foreign Taxes Withheld Non-USD Taxes Stmicroelectronics N V B H P Billiton Limited A D R 1.10 USD/Share On 1,650 Shares Due 3/26/19",0.00
03/26/19,Sale,"Sold 1,552.99 Units Of 1,552.99 -1,552.99 First Am Govt Ob Fd Cl X Trade Date 3/26/19","1,993.50"
03/26/19,Sale,"Sold 45,431 Units Of 45,431.00 -45,431.00 First Am Govt Ob Fd Cl X Trade Date 3/26/19","47,424.50"
03/26/19,Purchase,"Purchased 5,000 Shares Of -45,431.00 45,431.00 Blackberry Ltd Trade Date 3/22/19 Purchased Through J.P. Morgan Securities LLC Paid 50.00 USD Brokerage 5,000 Shares At 9.0762 USD","1,993.50"
03/27/19,Purchase,Purchased 980.93 Units Of -980.93 980.93 First Am Govt Ob Fd Cl X Trade Date 3/27/19 16664 00- -A -UC-UZ -001-04,0.00
03/28/19,Sale,"Sold 100,680.77 Units Of 100,680.77 -100,680.77 First Am Govt Ob Fd Cl X Trade Date 3/28/19 Af Poyry Ab Bta Rt 4/12/19 Valued At 9.2984 SEK For 0.00 USD Market Value Of 354.90 USD Ca Rights Distribution Sedol Bn791j6 Exdt 3/29/19","-1,149.15"
04/01/19,Purchase,"Purchased 9,843.41 Units Of -9,843.41 9,843.41 First Am Govt Ob Fd Cl X Trade Date 4/1/19","-63,700.48"
04/01/19,Sale,"Sold 10 Shares Of 1,834.47 -1,945.01 Asml Holding Nv Ny Reg Shs Trade Date 3/28/19 Sold Through J.P. Morgan Securities LLC Paid 0.10 USD Brokerage Paid 0.03 USD Sec Fee 10 Shares At 183.46 USD","-61,866.01"
04/01/19,Sale,"Sold 1,533 Shares Of 61,866.01 -71,168.11 Hsbc Holdings Plc Spons A D R Trade Date 3/28/19 Sold Through J.P. Morgan Securities LLC Paid 15.33 USD Brokerage Paid 0.81 USD Sec Fee 1,533 Shares At 40.3667 USD 16664 00- -A -UC-UZ -001-04",0.00
04/02/19,Purchase,Purchased 254.06 Units Of -254.06 254.06 First Am Govt Ob Fd Cl X Trade Date 4/2/19 Transfer From Another Account,0.00
04/04/19,Purchase,"Purchased 18,444.04 Units Of -18,444.04 18,444.04 First Am Govt Ob Fd Cl X Trade Date 4/4/19",0.00
04/05/19,Sale,"Sold 28,541.51 Units Of 28,541.51 -28,541.51 First Am Govt Ob Fd Cl X Trade Date 4/5/19 16664 00- -A -UC-UZ -001-04","-131,200.73"
04/05/19,Sale,"Sold 300 Shares Of 40,809.96 -38,124.61 Ferrari Nv Trade Date 4/3/19 Sold Through J.P. Morgan Securities LLC Paid 3.00 USD Brokerage Paid 0.54 USD Sec Fee 300 Shares At 136.045 USD Hsbc Holdings Plc Spons A D R 1.05 USD/Share On 1,533 Shares Due 4/8/19 Cash Election On Optional Dividend Transfer From Another Account","-90,390.77"
04/09/19,Purchase,"Purchased 131,775.61 Units Of -131,775.61 131,775.61 First Am Govt Ob Fd Cl X Trade Date 4/9/19","-101,548.78"
04/09/19,Sale,"Sold 5,000 Shares Of 60,436.54 -40,713.05 Air France Klm Net Proceeds 60,436.54 USD Trade Date 4/5/19 Sold Through Jpmsgb2l Jp Morgan Sec London Paid 30.23 USD Brokerage Book Value 35,617.09 EUR Local Proceeds 53,876.05 EUR Traded At 0.89144829 EUR To 1 USD Valued At 0.891544 EUR For 60,430.05 USD 5,000 Shares At 10.7806 EUR 16664 00- -A -UC-UZ -001-04","-41,112.24"
04/09/19,Sale,"Sold 300 Shares Of 41,112.24 -34,971.00 Ferrari Nv Trade Date 4/5/19 Sold Through J.P. Morgan Securities LLC Paid 3.00 USD Brokerage Paid 0.54 USD Sec Fee 300 Shares At 137.0526 USD Transfer From Another Account",0.00
04/11/19,Purchase,"Purchased 118,124.55 Units Of -118,124.55 118,124.55 First Am Govt Ob Fd Cl X Trade Date 4/11/19 Af Poyry Ab Bta Rt 4/12/19 Pay From Acct On Corp Action Valued At 1.00 SEK For 0.00 USD Market Value Of 62,700.00 USD Ca Rights Exercise 7Gb2305",0.00
04/12/19,Purchase,"Purchased 1,100 Shares Of -11,750.42 11,750.42 Af Poyry Ab Bta Net Cost 108,900.00 SEK Trade Date 4/12/19 Purchased Through Global Corporate Actions Book Value 108,900.00 SEK Valued At 9.26775 SEK For 11,750.42 USD Fed Tax Cost Reduction 11,750.42- USD 1,100 Shares At 99 SEK Ca Rights Exercise 7Gb2305 16664 00- -A -UC-UZ -001-04","-11,750.42"
04/12/19,Purchase,"Purchased 108,900.00 Units Of -11,756.12 11,750.42 Swedish Krona Trade Date 4/12/19 Value Date 4/12/19 Purchased Through Bny-Mellon Foreign Exchange Book Value 108,900.00 SEK Traded At 9.26326033 SEK To 1 USD Valued At 9.26326033 SEK For 11,756.12 USD Net Cost 11,756.12 USD Repayment Of Currency Overdraft Resulted In Fed ST Currency Loss On SEK Of 5.70- USD 108,900 Units At 1 SEK Ca Rights Exercise 7Gb2305 Adevinta Asa A Valued At 99.00 NOK For 1.00 USD Market Value Of 36,935.25 USD Ca Spin Off 4790534 Exdt 4/10/19 Transfer From Another Account","-23,506.54"
04/12/19,Purchase,"Purchased 12,169.83 Units Of -12,169.83 12,169.83 First Am Govt Ob Fd Cl X Trade Date 4/12/19 -108,900.00 Swedish Krona 99999SEK5","-23,506.54"
04/15/19,Sale,"Sold 74,202.49 Units Of 74,202.49 -74,202.49 First Am Govt Ob Fd Cl X Trade Date 4/15/19 16664 00- -A -UC-UZ -001-04","62,446.37"
04/15/19,Purchase,"Purchased 500 Shares Of -62,446.37 62,400.33 Capgemini Net Cost 62,446.37 USD Trade Date 4/11/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 31.11 USD Brokerage Paid 186.55 USD Misc Fee1 Book Value 55,462.04 EUR Traded At 0.88815475 EUR To 1 USD Valued At 0.88881 EUR For 62,400.33 USD 500 Shares At 110.5372 EUR Transfer From Another Account",0.00
04/16/19,Purchase,"Purchased 4,633.63 Units Of -4,633.63 4,633.63 First Am Govt Ob Fd Cl X Trade Date 4/16/19","45,606.55"
