Trade_Date,Clean_Name,Action,Qty,Price,Currency,Ticker
2020-05-04,Wirecard Ag,-1,1000.0,0.926681,EUR,WDI.DE
2020-05-06,Raysearch Laboratories Ab,1,10000.0,80.0817,SEK,RAY.ST
2020-05-06,Shopify Inc A,-1,220.0,675.458,USD,SHOP
2020-05-14,Rakuten Inc,1,10000.0,1015.46,JPY,4755.T
2020-05-18,Grupo Aeroportuario Sure Spon A D R,1,2000.0,105.1562,USD,ASR
2020-05-18,Capital Counties Properties Plc,1,50000.0,1.4249,GBP,CAPC.L
2020-05-20,Ion Beam Applications,-1,3113.0,1.0,EUR,IBAB.BR
2020-05-21,Ion Beam Applications,-1,2614.0,7.3235,EUR,IBAB.BR
2020-05-22,Tobii Ab,1,30000.0,31.6252,SEK,TOBII.ST
2020-05-22,Ion Beam Applications,-1,2336.0,7.14009846,EUR,IBAB.BR
2020-05-22,Dassault Systemes Sa,-1,700.0,143.0073,EUR,DSY.PA
2020-05-22,Asos Plc,-1,5000.0,28.1306,GBP,ASC.L
2020-05-25,Askul Corp Npv,-1,3000.0,3305.0,JPY,2678.T
2020-05-27,Af Ab B Shs,-1,10000.0,198.6572,SEK,AF-B.ST
2020-05-28,Lasertec Corp,-1,2000.0,107.73,JPY,6920.T
2020-05-29,Capgemini,-1,2000.0,92.2559,EUR,CAP.PA
2020-06-02,Accesso Technology Group Plc,1,5000.0,109.11,JPY,ACSO.L
2020-06-03,Capital Counties Properties Plc,1,50000.0,1.7632,GBP,CAPC.L
2020-06-03,Slm Solutions Group Ag,1,10000.0,9.1695,EUR,AM3D.DE
2020-06-03,Ryanair Holdings Plc Sp A D R,1,2000.0,78.277,USD,RYAAY
2020-06-03,Thk Co Ltd,1,5000.0,3095.5,JPY,6481.T
2020-06-03,Accesso Technology Group Plc,1,25000.0,3.768,GBP,ACSO.L
2020-06-04,Interroll Holding Ag,1,80.0,2041.659375,CHF,INRN.SW
2020-06-05,Iqe Plc,1,299030.0,0.4541,GBP,IQE.L
2020-06-05,Autogrill S P A,1,30000.0,6.0641,EUR,AGL.MI
2020-06-11,Orpea,1,1000.0,100.5377,EUR,ORP.PA
2020-06-11,Accesso Technology Group Plc,1,10000.0,107.4,JPY,ACSO.L
2020-06-15,Umicore,1,2000.0,43.3505,EUR,UMI.BR
2020-06-17,Ds Smith Plc,1,20000.0,3.3452,GBP,SMDS.L
2020-06-18,Lumibird,1,2092.0,0.889878,EUR,LBIRD.PA
2020-06-19,Asml Holding Nv Ny Reg Shs,-1,400.0,106.67,JPY,ASML
2020-06-22,Accesso Technology Group Plc,1,10000.0,3.05,GBP,ACSO.L
2020-06-22,Stroeer SE and Co Kgaa,1,1000.0,62.9252,EUR,SAX.DE
2020-06-22,Mediawan Sa,-1,20000.0,106.96,JPY,MDW.PA
2020-06-24,Shopify Inc A,-1,130.0,107.26,JPY,SHOP
2020-06-29,Grupo Aeroportuario Sure Spon A D R,1,1000.0,112.1378,USD,ASR
2020-07-01,Shopify Inc A,-1,100.0,987.93,USD,SHOP
2020-07-02,Future Plc,1,6000.0,12.6526,GBP,FUTR.L
2020-07-06,Powercell Seden Ab,1,5000.0,362.184,SEK,PCELL.ST
2020-07-14,Learning Technologies Group,1,50000.0,1.0,EUR,LTG.L
2020-07-20,Accesso Technology Group Plc,1,25000.0,2.75,GBP,ACSO.L
2020-07-27,Aston Martin Lagonda Global,1,300000.0,0.4797,GBP,AML.L
2020-08-03,Diasorin Spa,-1,1000.0,168.8581,EUR,DIA.MI
2020-08-06,Fanuc Corporation A D R,-1,10000.0,17.268,USD,FANUY
2020-08-11,Adyen Bv,-1,100.0,107.06,JPY,ADYEN.AS
2020-08-11,Publicis Groupe,1,5000.0,30.8267,EUR,PUB.PA
2020-08-28,Fnac Darty Sa,1,4500.0,36.4595,EUR,FNAC.PA
2020-09-03,William Hill P L C,1,100000.0,1.8358,GBP,WMH.L
2020-09-03,Tobii Ab,-1,30000.0,1.0,EUR,TOBII.ST
2020-09-25,Powercell Seden Ab,-1,5000.0,216.778,SEK,PCELL.ST
2020-09-28,Af Ab B Shs,-1,133.0,9.02090292,SEK,AF-B.ST
2020-09-29,Publicis Groupe,1,235.0,24.46,EUR,PUB.PA
2020-09-30,Nintendo Ltd,-1,50.0,70.62,USD,NTDOY
2020-09-30,Cosmo Pharmaceuticals Nv,-1,10.0,88.1,EUR,COPN.SW
2020-09-30,Hugo Boss Ag,-1,30.0,21.45,EUR,BOSS.DE
2020-09-30,Mediawan Sa,-1,100.0,11.94,EUR,MDW.PA
2020-09-30,Intrum Ab Npv,-1,50.0,217.0,SEK,INTRUM.ST
2020-09-30,Ion Beam Applications,-1,70.0,11.0,EUR,IBAB.BR
2020-10-01,Diasorin Spa,-1,10.0,177.0,EUR,DIA.MI
2020-10-05,Slm Solutions Group Ag,1,1977.0,8.9177,EUR,AM3D.DE
2020-10-05,Solaredge Technologies Inc,-1,750.0,262.7027,USD,SEDG
2020-10-06,Slm Solutions Group Ag,1,8023.0,9.18139973,EUR,AM3D.DE
2020-10-09,Gvc Holdings Plc,1,15000.0,10.9032,GBP,GVC.L
2020-10-09,William Hill Ord,-1,100000.0,2.7784,GBP,WMH.L
2020-10-13,Autogrill S P A,-1,30000.0,3834.0,USD,AGL.MI
2020-10-14,Schwab US Small Cap Etf,-1,2050.0,73.719,USD,SCHA
2020-10-15,Schwab US Small Cap Etf,1,2050.0,73.4498,USD,SCHA
2020-10-15,Materialise Nv A D R,-1,240.0,49.9283,USD,MTLS
2020-10-20,Materialise Nv A D R,-1,2310.0,49.6922,USD,MTLS
2020-10-22,Capgemini,-1,10.0,105.7,EUR,CAP.PA
2020-10-22,Dassault Systemes Sa,-1,1300.0,153.0368,EUR,DSY.PA
