Date Posted,Activity,Description,Principal Cash
04/23/18,Purchase,"Purchased 30 Shares Of -1,596.77 1,596.77 Umicore Net Cost 1,596.77 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.80 USD Brokerage Book Value 1,290.65 EUR Traded At 0.80828798 EUR To 1 USD Valued At 0.80828798 EUR For 1,596.77 USD 30 Shares At 43 EUR","14,312.62"
04/23/18,Purchase,"Purchased 20 Shares Of -1,658.16 1,658.16 Ucb Sa Net Cost 1,658.16 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.83 USD Brokerage Book Value 1,340.27 EUR Traded At 0.8082875 EUR To 1 USD Valued At 0.8082875 EUR For 1,658.16 USD 20 Shares At 66.98 EUR","12,654.46"
04/23/18,Purchase,"Purchased 100 Shares Of -3,017.94 3,026.34 Accesso Technology Group Plc Net Cost 3,017.94 USD Trade Date 4/19/18 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 1.50 USD Brokerage Purchased On The London Stock Exchange Book Value 2,126.06 GBP Traded At 0.70447391 GBP To 1 USD Valued At 0.702519 GBP For 3,026.34 USD 100 Shares At 21.25 GBP","9,636.52"
04/23/18,Purchase,"Purchased 10 Shares Of -1,990.50 1,990.50 Asml Holding Nv Ny Reg Shs Trade Date 4/19/18 Purchased Through J.P. Morgan Securities LLC Paid 0.10 USD Brokerage 10 Shares At 199.04 USD","7,646.02"
04/23/18,Purchase,"Purchased 10 Shares Of -1,238.60 1,238.60 Ferrari Nv Trade Date 4/19/18 Purchased Through J.P. Morgan Securities LLC Paid 0.10 USD Brokerage 10 Shares At 123.85 USD","6,407.42"
04/23/18,Purchase,"Purchased 20 Shares Of -2,537.20 2,537.20 Shopify Inc A Trade Date 4/19/18 Purchased Through J.P. Morgan Securities LLC Paid 0.20 USD Brokerage 20 Shares At 126.85 USD","3,870.22"
04/23/18,Purchase,"Purchased 30 Shares Of -1,535.70 1,535.70 Nintendo Co Ltd Unspons A D R Trade Date 4/19/18 Purchased Through J.P. Morgan Securities LLC Paid 0.30 USD Brokerage 30 Shares At 51.18 USD","2,334.52"
04/23/18,Purchase,"Purchased 400 Shares Of -2,334.52 2,334.52 Nokia Corp Spon A D R Trade Date 4/19/18 Purchased Through J.P. Morgan Securities LLC Paid 4.00 USD Brokerage 400 Shares At 5.8263 USD",0.00
04/24/18,Sale,"Sold 8,160.96 Units Of 8,160.96 -8,160.96 First Am Govt Ob Fd Cl X Trade Date 4/24/18","8,160.96"
04/24/18,Purchase,"Purchased 40 Shares Of -2,057.14 2,060.06 Cyberagent Inc Npv Net Cost 2,057.14 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 1.02 USD Brokerage Book Value 220,910 JPY Traded At 107.3869547 JPY To 1 USD Valued At 107.235 JPY For 2,060.06 USD 40 Shares At 5,520.00000029 JPY","6,103.82"
04/24/18,Purchase,"Purchased 10 Shares Of -2,162.42 2,165.49 Disco Corporation Net Cost 2,162.42 USD Trade Date 4/19/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 1.08 USD Brokerage Book Value 232,216 JPY Traded At 107.38709408 JPY To 1 USD Valued At 107.235 JPY For 2,165.49 USD 10 Shares At 23,210 JPY","3,941.40"
04/24/18,Purchase,"Purchased 15 Shares Of -1,735.61 1,746.70 Groupe Fnac Sa Net Cost 1,735.61 USD Trade Date 4/20/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.86 USD Brokerage Paid 5.22 USD Misc Fee1 Book Value 1,412.67 EUR Traded At 0.81393285 EUR To 1 USD Valued At 0.808767 EUR For 1,746.70 USD 15 Shares At 93.85 EUR","2,205.79"
04/24/18,Purchase,"Purchased 20 Shares Of -1,991.98 2,000.59 Ams Ag Net Cost 1,991.98 USD Trade Date 4/20/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 1.00 USD Brokerage Book Value 1,940.57 CHF Traded At 0.97419151 CHF To 1 USD Valued At 0.97 CHF For 2,000.59 USD 20 Shares At 96.98 CHF",213.81
