Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
04/12/19,Purchase,"12,169.83",Units,First Am Govt Ob Fd Cl X,4/12/19,,,"-23,506.54"
04/15/19,Sale,"74,202.49",Units,"74,202.49 -74,202.49 First Am Govt Ob Fd Cl X",4/15/19,,,"62,446.37"
04/15/19,Purchase,500,Shares,"Capgemini Net Cost 62,446.37 USD",4/11/19,Jpmsgb2l Jp Morgan Sec London,110.5372 EUR,0.00
04/16/19,Purchase,"4,633.63",Units,First Am Govt Ob Fd Cl X,4/16/19,,,"45,606.55"
04/16/19,Purchase,"1,000",Shares,"Lasertec Corp Net Cost 45,606.55 USD",4/11/19,Jpmsgb2l Jp Morgan Sec London,"5,067 JPY",0.00
04/17/19,Purchase,"16,978",Units,First Am Govt Ob Fd Cl X,4/17/19,,,0.00
04/18/19,Sale,"30,866.87",Units,"30,866.87 -30,866.87 First Am Govt Ob Fd Cl X",4/18/19,,,0.00
04/22/19,Sale,"1,665.78",Units,"1,665.78 -1,665.78 First Am Govt Ob Fd Cl X",4/22/19,,9.26775383 SEK,0.00
04/25/19,Purchase,"167,274.1",Units,First Am Govt Ob Fd Cl X,4/25/19,,,0.00
04/26/19,Purchase,"255,106.77",Units,First Am Govt Ob Fd Cl X,4/26/19,,,0.00
04/29/19,Sale,,,"19,644.04 -19,735.90 Zoo Digital Group Net Proceeds 19,644.04 USD",4/25/19,Crst 784 Jpmorgan Secs Ltd,0.897035 EUR,"19,644.04"
04/29/19,Sale,700.00,Units,780.35 -780.35 Euro,4/29/19,,0.897035 EUR,"21,204.74"
04/29/19,Sale,"49,777.09",Units,"49,777.09 -49,777.09 First Am Govt Ob Fd Cl X",4/29/19,,,"70,891.83"
04/29/19,Purchase,"3,000",Shares,"Adevinta Asa A Net Cost 30,043.05 USD",4/25/19,Jpmsgb2l Jp Morgan Sec London,86.9792 NOK,"40,848.78"
04/29/19,Purchase,"30,000",Shares,"Zoo Digital Group Net Cost 19,644.04 USD",4/25/19,Crst 784 Jpmorgan Secs Ltd,0.5075 GBP,"21,204.74"
04/29/19,Purchase,"30,000",Shares,"Zoo Digital Group Net Cost 19,644.04 USD",4/25/19,Crst 784 Jpmorgan Secs Ltd,0.89543 EUR,"1,560.70"
04/30/19,Sale,"1,058.75",Units,"1,182.39 -1,182.39 Euro",4/30/19,,0.89543 EUR,"3,145.13"
04/30/19,Sale,"103,277.74",Units,"103,277.74 -103,277.74 First Am Govt Ob Fd Cl X",4/30/19,,,"103,911.38"
04/30/19,Sale,"66,805.05",Units,"66,805.05 -66,805.05 First Am Govt Ob Fd Cl X",4/30/19,,,"170,716.43"
04/30/19,Purchase,500,Shares,"Capgemini Net Cost 61,014.48 USD",4/26/19,Jpmsgb2l Jp Morgan Sec London,109.0486 EUR,"109,701.95"
04/30/19,Purchase,"1,000",Shares,"Moncler Spa Net Cost 40,532.12 USD",4/26/19,Jpmsgb2l Jp Morgan Sec London,36.293 EUR,"69,169.83"
04/30/19,Purchase,"1,500",Shares,Baozun Inc Spon A D R,4/26/19,J.P. Morgan Securities LLC,0.76811 GBP,"2,364.78"
05/01/19,Sale,780.00,Units,"1,015.48 -1,015.48 British Pound",5/1/19,,0.76811 GBP,"3,213.35"
05/01/19,Purchase,"18,420.34",Units,First Am Govt Ob Fd Cl X,5/1/19,,0.890332 EUR,"2,030.96"
05/02/19,Sale,476.00,Units,534.63 -534.63 Euro,5/2/19,,0.890332 EUR,"2,487.95"
05/02/19,Sale,"32,546.9",Units,"32,546.90 -32,546.90 First Am Govt Ob Fd Cl X",5/2/19,,,"62,261.71"
05/02/19,Purchase,"4,500",Shares,"Mediawan Sa Net Cost 61,192.45 USD",4/29/19,Jpmsgb2l Jp Morgan Sec London,12.1705 EUR,"1,069.26"
05/03/19,Purchase,534.63,Units,First Am Govt Ob Fd Cl X,5/3/19,,,0.00
05/07/19,Sale,"20,029.38",Units,"20,029.38 -20,029.38 First Am Govt Ob Fd Cl X",5/7/19,,,"48,393.27"
05/07/19,Purchase,"2,000",Shares,"Basware Oyj Npv Net Cost 48,393.27 USD",5/3/19,Jpmsgb2l Jp Morgan Sec London,9.58235 SEK,0.00
05/09/19,Purchase,"54,248.29",Units,First Am Govt Ob Fd Cl X,5/9/19,,1.015515 CHF,0.00
05/10/19,Sale,"1,001.00",Units,985.71 -985.71 Swiss Franc,5/9/19,,1.015515 CHF,"1,971.42"
05/10/19,Sale,"9,376",Units,"9,376.00 -9,376.00 First Am Govt Ob Fd Cl X",5/10/19,,,"1,971.42"
05/13/19,Sale,"29,988.89",Units,"29,988.89 -29,988.89 First Am Govt Ob Fd Cl X",5/13/19,,,"30,974.60"
05/13/19,Purchase,"2,000",Shares,Materialise Nv A D R,5/9/19,J.P. Morgan Securities LLC,8.762354 NOK,0.00
05/14/19,Sale,"5,250.00",Units,599.15 -599.15 Norwegian Krone,5/14/19,,8.762354 NOK,"1,198.30"
