month,sect_wt_business_services,sect_wt_consumer_cyclicals,sect_wt_consumer_non_cyclicals,sect_wt_consumer_services,sect_wt_finance,sect_wt_healthcare,sect_wt_industrials,sect_wt_non_energy_materials,sect_wt_technology,ctry_wt_AT,ctry_wt_AU,ctry_wt_BE,ctry_wt_CA,ctry_wt_DE,ctry_wt_DK,ctry_wt_FI,ctry_wt_FR,ctry_wt_GB,ctry_wt_IL,ctry_wt_IT,ctry_wt_JP,ctry_wt_NL,ctry_wt_NO,ctry_wt_SE,top_sector,top_sector_wt,sector_hhi,wt_classified_sector,wt_classified_country,n_sectors,n_countries,ctry_wt_CH,ctry_wt_CN,ctry_wt_TW,ctry_wt_IE,ctry_wt_MX,ctry_wt_US,ctry_wt_UY,ctry_wt_AR,ctry_wt_ES,sect_wt_energy
2019-12,0.05731727631134947,0.0865581081043919,0.02705002869707231,0.039721961196836485,0.08651723922030885,0.12978611846848034,0.08267891349312731,0.07129795552072825,0.4190723989877052,0.01589324606896849,0.01377061244735614,0.08424309445900065,0.041818043161694955,0.11836818727914708,0.0019205187578179943,0.025480477311857416,0.08383787966811852,0.369832346192525,0.029353431280970742,0.034388813244641575,0.03765427580693007,0.04040857327380782,0.005271737548553668,0.009541689831742393,Technology,0.4190723989877052,0.2249576605167673,1.0,1.0,9,18,0.040976896079954465,0.02516639346434878,0.022073784122564374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,0.061172269575874835,0.07920089169566534,0.010115188034988152,0.054319497627794984,0.08078388243617343,0.1277758482554145,0.08430427324737495,0.053555393642329065,0.4487727554843848,0.016471180286862622,0.0,0.08819319346700796,0.029749840493107922,0.12908128687375364,0.0021135969496258516,0.028272697568500295,0.09338395110860756,0.3769722766401936,0.031022255802067245,0.015307673953366378,0.02825544443689441,0.05940025724155783,0.0052482976971252315,0.011048874852056656,Technology,0.4487727554843848,0.2472928324618237,1.0,1.0,9,17,0.04093829668575542,0.02349554615731094,0.021045329786206445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,0.06871321147398372,0.07220272674622916,0.01087858663238184,0.040381388950943065,0.086950583739341,0.1283343084987435,0.0897194681810225,0.06407598916999702,0.43874373660735816,0.014022238557268392,0.0,0.09720537923186186,0.025741689703681254,0.13589436458240842,0.002043893085438221,0.02814854219795001,0.08479567629456185,0.34326975933799,0.04036416442742808,0.01549372640529502,0.026965469350215158,0.08159016837640673,0.0034339114393851285,0.014229406175158998,Technology,0.43874373660735816,0.24036521992283338,1.0,1.0,9,17,0.04008616993053721,0.025269675741609883,0.02144576516280385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03,0.06600678365555533,0.05032237828682766,0.009940303191775962,0.03935045760516224,0.08845629422011075,0.13347525418110237,0.08940820043179808,0.0557234208423338,0.467316907585334,0.004297334822497719,0.0,0.09943669571228295,0.0628252106053299,0.0963440421170853,0.0035031965734909506,0.021534715479410285,0.09553924020136798,0.3486854459395143,0.02783533439976348,0.018959660274133466,0.024267516674917736,0.08454019678797406,0.0027235753850368147,0.011170530552554458,Technology,0.467316907585334,0.26366068290208267,1.0,1.0,9,17,0.03496592048774557,0.023380383845158517,0.039991000141736774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04,0.027002947700501788,0.10201822716389139,0.009635818997603369,0.0403734500110504,0.07111874337566639,0.14080155074761116,0.10125325976034373,0.053231002346527154,0.4545649998968047,0.014667651096700774,0.0,0.07981381811974114,0.060116635698479776,0.08363085075797347,0.003132919700605378,0.022073731733478534,0.09881212083471222,0.3902244934763095,0.023537292009231037,0.048035493793804264,0.023326916164771987,0.06669187555349605,0.0026445196852516767,0.01098257767457388,Technology,0.4545649998968047,0.25745779603808844,1.0,1.0,9,17,0.0330969328199591,0.0,0.026895664295018083,0.012316506585893202,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,0.02906825587433433,0.09812369211080882,0.00950566341050621,0.034119864965228404,0.06405925945377611,0.13989070124447306,0.12870836757661408,0.05032783709082276,0.44619635827343646,0.015411958550193628,0.0,0.07184976968320916,0.0484989209178215,0.08571381466430657,0.0030084987814718296,0.02570395010253772,0.07295004510673204,0.4044743061985839,0.026954651297986784,0.05399233229067882,0.022315279134852362,0.07232814242026109,0.002922692973222603,0.011691978871389147,Technology,0.44619635827343646,0.25359066749854253,1.0,1.0,9,18,0.03094201209061327,0.0,0.022945075684189003,0.012542441844707474,0.015754129387243354,0.0,0.0,0.0,0.0,0.0
2020-06,0.029638740575348616,0.09985088624820272,0.00928600470736397,0.04511171258982266,0.061816680860890975,0.13935326672270046,0.14353090632635124,0.06070834934876041,0.41070345262055896,0.014041235203402717,0.0,0.07502711255926353,0.04043802641727344,0.08951067011887773,0.0027893346739075627,0.023502049734942472,0.06490161560135566,0.4035975149665935,0.02402721822419684,0.05868470914874626,0.02030580303354903,0.06047405576906333,0.0029223750189604275,0.012083027615632768,Technology,0.41070345262055896,0.2291745366485643,1.0,1.0,9,18,0.04102209324646715,0.0,0.023588848743409507,0.019755158740656694,0.02332915118370137,0.0,0.0,0.0,0.0,0.0
2020-07,0.024209271927592892,0.19180501313587905,0.007822243992323256,0.04142352918182587,0.05001940681095763,0.12410106781212253,0.1252910706636707,0.04614545112139559,0.3891829453542324,0.01289467612485203,0.0,0.06315210848724043,0.02563123295842256,0.07881964590416633,0.0024373055299728675,0.0239131099797252,0.0576028515230074,0.4805294977826095,0.02367103845474573,0.05196355407744837,0.015519234784241316,0.05267688718007844,0.00338752712551209,0.01236298308213124,Technology,0.3891829453542324,0.22634598427394248,1.0,1.0,9,18,0.0362091098827473,0.0,0.02559554389987286,0.017438971791331807,0.016194721431894456,0.0,0.0,0.0,0.0,0.0
2020-08,0.04038850525653118,0.21923132283226646,0.00796776107052649,0.03691197950192651,0.03548068028469495,0.09772619128022035,0.12207278835820815,0.041830615329148696,0.39839015608647715,0.012509744218314064,0.0,0.06309641323331132,0.02555213220634948,0.08067691589548272,0.00265738397168182,0.02292013363338283,0.0743624519154591,0.5006082054940934,0.02706347719077676,0.03513444655275323,0.005683217751376517,0.0388029474322142,0.003454271418680055,0.013865934646076756,Technology,0.39839015608647715,0.2372951533534436,1.0,1.0,9,18,0.03664624425778876,0.0,0.023275936521301107,0.01702839124640382,0.016661752414554094,0.0,0.0,0.0,0.0,0.0
2020-09,0.03813836805846817,0.20307617033989395,0.008510561909454066,0.06011824391591531,0.03315180191734027,0.09293417265228049,0.12380168588909797,0.040793982131700726,0.3994750131858491,0.015685370750050647,0.0,0.05728444860564301,0.022351962952155885,0.08431757890568002,0.0025381494559480475,0.02287162958713831,0.07003463944931375,0.508200763183512,0.029017376740993223,0.03567866730228325,0.006728525452231966,0.03862488480846768,0.0030812422128455442,0.010776433211932238,Technology,0.3994750131858491,0.23268819397753812,1.0,1.0,9,18,0.035049783777518675,0.0,0.02368723707884023,0.017120337497088325,0.016950969028357174,0.0,0.0,0.0,0.0,0.0
