month,ticker,fsym_id,sector,country,w_begin,ret_usd,contrib
2018-12,BB,L8N0YK-R,Technology,CA,0.045346370729436355,-0.19100300000000003,-0.008661292848434534
2018-12,GWPH,D2DFTS-R,Healthcare,GB,0.03173214179257828,-0.20833999999999997,-0.0066110744210657576
2018-12,INRN.SW,TLX4L7-R,Industrials,CH,0.03207529221184807,-0.16846299797771458,-0.0054034998870191656
2018-12,BZUN,GXXP1J-R,Business Services,CN,0.02729294361138602,-0.171817,-0.004689391692477511
2018-12,BCART.BR,VHJB07-R,Healthcare,BE,0.02767003190753989,-0.15983507727626345,-0.0044226416881783135
2018-12,SHOP,VC0Z7G-R,Finance,CA,0.0413464493932511,-0.09158880000000003,-0.003786871684188597
2018-12,ASML,GL3H8G-R,Technology,NL,0.037126760663087,-0.09180049999999995,-0.003408255192251716
2018-12,RKUNY,SSMH3Y-R,Consumer Non-Cyclicals,JP,0.02076182810018392,-0.162443,-0.0033726136420781767
2018-12,SEDG,CQY5QT-R,Technology,IL,0.032635586977332834,-0.09838179999999996,-0.0032107477908865623
2018-12,OVS.MI,MP8K4H-R,Consumer Cyclicals,IT,0.00991656623928399,-0.3181068054402322,-0.0031545272073150873
2018-12,NTDOY,KRR3VZ-R,Technology,JP,0.024569066052211683,-0.12595699999999999,-0.0030946458527384268
2018-12,RACE,RSKRFX-R,Consumer Cyclicals,IT,0.028270547394460898,-0.09244439999999998,-0.0026134537915525006
2018-12,ZAL.DE,PM6KP2-R,Consumer Cyclicals,DE,0.01413114784888431,-0.17763046721352904,-0.002510122394660776
2018-12,AM3D.DE,VJ2Q9P-R,Industrials,DE,0.008478020305714006,-0.2906385235457565,-0.0024640393042436614
2018-12,SAX.DE,JCTTTN-R,Business Services,DE,0.029936935336047018,-0.0820399424936944,-0.002456024453406745
2018-12,FANUY,GB0DHY-R,Industrials,JP,0.022023169129006127,-0.110213,-0.0024272395392151524
2018-12,CAPC.L,J2R4L9-R,Finance,GB,0.024589786631240944,-0.0969804508399088,-0.0023847285935549092
2018-12,AF.PA,FPW2T0-R,Industrials,FR,0.033872150388201815,-0.0649058799355442,-0.002198501726255324
2018-12,OCDO.L,LHPBFK-R,Industrials,GB,0.038469868406402846,-0.05632303233190772,-0.002166739642058063
2018-12,AMS.SW,C5K9GL-R,Technology,AT,0.014410036619524804,-0.14088134734267244,-0.0020301053742159034
2018-12,UMI.BR,L1YNFY-R,Non-Energy Materials,BE,0.021675523792505754,-0.0865250394744973,-0.0018754755517769658
2018-12,PNDORA.CO,C6RB2B-R,Consumer Cyclicals,DK,0.006915226771924864,-0.2524280905856441,-0.0017455974900037207
2018-12,SMDS.L,QCZ86Y-R,Non-Energy Materials,GB,0.014057199093748668,-0.11052805850744907,-0.0015537149238847128
2018-12,ETO.L,KDMMVP-R,Consumer Services,CA,0.03095025388088524,-0.03734351372322009,-0.0011557912305379839
2018-12,AMP.MI,WJWHT6-R,Healthcare,IT,0.02458892192177547,-0.04545435995519487,-0.0011176737079425642
2018-12,UCB.BR,KNHDSG-R,Healthcare,BE,0.030877572883834796,-0.0356240186614446,-0.0010999832326338466
2018-12,STM,TZ751N-R,Technology,CH,0.013406584861561177,-0.06188550000000004,-0.0008296732074501448
2018-12,FNAC.PA,X9KJT3-R,Consumer Cyclicals,FR,0.015957849677270337,-0.04359539339437446,-0.0006956887344088919
2018-12,ACSO.L,SRS2M0-R,Consumer Services,GB,0.012706602868929677,-0.04656112146125402,-0.0005916336795401535
2018-12,BOOZT.ST,TY2YK8-R,Consumer Non-Cyclicals,SE,0.0027203789169624273,-0.21253891084774978,-0.0005781863721043755
2018-12,HSBC,RWBRW0-R,Finance,GB,0.016454523680060527,-0.03361539999999996,-0.000553125395314706
2018-12,NOD.OL,CSQ76Z-R,Technology,NO,0.0016783426416408143,-0.258870156916151,-0.000434472823000625
2018-12,LN,JV8XYP-R,Technology,JP,0.013627126084392054,-0.031516199999999994,-0.0004294752311009168
2018-12,NAS.OL,QTFZXZ-R,Industrials,NO,0.0017502224776459096,-0.21516808085737105,-0.00037659201158850335
2018-12,SCHA.OL,G4GNVN-R,Technology,NO,0.003829610970869816,-0.08740306159393796,-0.0003347197235677551
2018-12,TSM,N28HXY-R,Technology,TW,0.01454411327405728,-0.018089899999999992,-0.00026310155471636866
2018-12,RAY.ST,B3MGHK-R,Healthcare,SE,0.002651585213807835,-0.08111701144927808,-0.00021508866814718658
2018-12,AF-B.ST,XJLJJN-R,Industrials,SE,0.0018852217442535523,-0.11385545298664279,-0.00021464277567225705
2018-12,DUST.ST,JTKY01-R,Technology,SE,0.0029015911236807542,-0.05517064032859498,-0.00016008264026523463
2018-12,FAG.ST,BXLTC8-R,Industrials,SE,0.0030682411931016234,-0.02151591728313662,-6.601602371548694e-05
2018-12,6951.T,KGPLVQ-R,Healthcare,JP,0.000397996464868325,-0.14279248753869034,-5.683090525015311e-05
2018-12,6146.T,J4TH5K-R,Technology,JP,0.00018232323269754084,-0.20188277659979748,-3.680792045563053e-05
2018-12,2678.T,JZY038-R,Consumer Non-Cyclicals,JP,0.00017816703891968024,-0.18736744265473537,-3.338270244774719e-05
2018-12,4751.T,G37DWR-R,Business Services,JP,0.00020590856770786215,-0.15106214702371434,-3.110499032852751e-05
2018-12,6481.T,LLWRYR-R,Industrials,JP,7.814711727764153e-05,-0.1700715706230368,-1.329060297507115e-05
2018-12,6861.T,R4NT59-R,Industrials,JP,0.0001850773594097248,-0.07086228006945616,-1.3115003677007316e-05
2018-12,6857.T,KL74SJ-R,Technology,JP,0.00019517244993609115,-0.053093356789154944,-1.0362360519870368e-05
2018-12,MONC.MI,VK44PN-R,Consumer Cyclicals,IT,0.011970052316159632,0.009374710520767993,0.00011221577538244497
